citation_date__c,citation_hour__c,citation_number__c,citation_time__c,court_address__c,court_date__c,court_hour__c,court_location__c,court_time__c,Court__c,date_of_birth__c,defendant_address__c,defendant_city__c,defendant_state__c,DefendentID__c,drivers_license_number__c,first_name__c,Id,last_name__c,REC_ID__c,Name
1/15/2015,PM,111277359,12:06,8944 St. Charles Rock Road,12/29/2015,PM,ST. LOUIS CITY,12:06,a03i000000OQtckAAD,6/19/1973,6 Kropf Park,HAZELWOOD,MO,a04i000000h8N3qAAE,Z854997336,Jerry,a02i000000c3yorAAA,Sanders,6,ST. LOUIS CITY - 111277359 - 42019
1/9/2015,AM,594887977,1:17,12355 Natural Bridge Road,11/13/2015,PM,ST. LOUIS CITY,1:17,a03i000000OQtckAAD,1/2/1963,30225 Boyd Place,PASADENA PARK,MO,a04i000000h8N4zAAE,F392250641,Jonathan,a02i000000c3yosAAA,Mills,77,ST. LOUIS CITY - 594887977 - 42013
2/14/2015,PM,811592288,1:24,200 Highlands Blvd. Dr.,11/9/2015,PM,ST. LOUIS CITY,1:24,a03i000000OQtckAAD,3/21/1986,057 Bashford Hill,NORTHWOODS,MO,a04i000000h8N56AAE,U960595854,Rachel,a02i000000c3yotAAA,Ray,84,ST. LOUIS CITY - 811592288 - 42049
5/12/2015,PM,205052499,1:36,975 Pennsylvania Avenue,10/6/2015,PM,ST. LOUIS CITY,1:36,a03i000000OQtckAAD,12/2/1970,8 Twin Pines Parkway,MAPLEWOOD,MO,a04i000000h8N5IAAU,E948416627,Maria,a02i000000c3youAAA,Reyes,96,ST. LOUIS CITY - 205052499 - 42136
2/19/2015,PM,996738235,12:27,9473 Olive Boulevard,10/4/2015,PM,OLIVETTE,3:26,a03i000000OQssUAAT,11/22/1979,0593 Lien Way,CALVERTON PARK,MO,a04i000000h8NFmAAM,W558533935,Jeffrey,a02i000000c3ysQAAQ,Hawkins,746,OLIVETTE - 996738235 - 42054
8/2/2015,AM,397085084,12:40,9473 Olive Boulevard,,PM,OLIVETTE,3:39,a03i000000OQssUAAT,2/28/1958,9953 Doe Crossing Crossing,FENTON,MO,a04i000000h8NFzAAM,F146877051,Annie,a02i000000c3ysRAAQ,Dunn,759,OLIVETTE - 397085084 - 42218
5/16/2015,PM,754039581,12:49,9473 Olive Boulevard,9/29/2015,PM,OLIVETTE,3:48,a03i000000OQssUAAT,2/26/1959,1 Summer Ridge Plaza,CLAYTON,MO,a04i000000h8NG8AAM,R512315387,Robert,a02i000000c3ysSAAQ,Thomas,768,OLIVETTE - 754039581 - 42140
4/4/2015,AM,624000979,12:39,1320 W. Lockwood Avenue,9/21/2015,PM,OAKLAND,12:39,a03i000000OQssTAAT,7/16/1952,645 Sutherland Point,CRESTWOOD,MO,a04i000000h8N4KAAU,E938173438,Howard,a02i000000c3ysTAAQ,Butler,39,OAKLAND - 624000979 - 42098
6/25/2015,AM,228416374,12:45,1414 Evergreen,11/25/2015,PM,WELLSTON,12:45,a03i000000OQsstAAD,7/10/1965,1 Delladonna Circle,CRYSTAL LAKE PARK,MO,a04i000000h8N4TAAU,A594762482,Eric,a02i000000c3ysUAAQ,Olson,45,WELLSTON - 228416374 - 42180
6/4/2015,PM,655665428,12:54,1414 Evergreen,10/3/2015,PM,WELLSTON,12:54,a03i000000OQsstAAD,11/18/1960,107 Ruskin Center,MACKENZIE,MO,a04i000000h8N4cAAE,N183851337,Craig,a02i000000c3ysVAAQ,Riley,54,WELLSTON - 655665428 - 42159
