date_of_birth__c,defendant_address__c,defendant_city__c,defendant_state__c,drivers_license_number__c,first_name__c,Id,last_name__c,Name,social_security
7/4/1973,70 Calypso Point,FERGUSON,MO,P974104339,Phillip,a04i000000h8N8IAAU,Castillo,Phillip Castillo,111111111
4/29/1967,5 Hayes Lane,VINITA PARK,MO,P487656326,Joan,a04i000000h8N8JAAU,Hudson,Joan Hudson,111111112
1/15/1975,92 Bluejay Way,OLIVETTE,MO,K341382712,Lori,a04i000000h8N8KAAU,Austin,Lori Austin,111111113
4/17/1979,6 Fuller Park,WOODSON TERRACE,MO,K565960565,Terry,a04i000000h8N8LAAU,Castillo,Terry Castillo,111111114
8/30/1977,42837 Sullivan Point,PACIFIC,MO,P525425385,Anthony,a04i000000h8N8MAAU,Knight,Anthony Knight,111111115
9/30/1988,7409 Badeau Park,MOLINE ACRES,MO,A427625628,Christina,a04i000000h8N8NAAU,Carroll,Christina Carroll,111111116
5/21/1953,6441 New Castle Circle,ELLISVILLE,MO,U343166465,Todd,a04i000000h8N8OAAU,Lewis,Todd Lewis,111111117
5/30/1980,027 Vernon Lane,VALLEY PARK,MO,A531293089,Donna,a04i000000h8N8PAAU,Fisher,Donna Fisher,111111118
12/26/1971,,FRONTENAC,MO,D771853565,Kathy,a04i000000h8N8QAAU,Price,Kathy Price,111111119
11/21/1988,7 Darwin Road,WELLSTON,MO,J764821858,Kenneth,a04i000000h8N8RAAU,Crawford,Kenneth Crawford,111111120
7/1/1957,1551 Crest Line Park,VINITA PARK,MO,Q655923602,Christopher,a04i000000h8N8SAAU,Martin,Christopher Martin,111111121
4/30/1969,62 Vermont Drive,EDMUNDSON,MO,Q989227612,Joseph,a04i000000h8N8TAAU,Cole,Joseph Cole,111111122
8/30/1991,2154 Mendota Road,CALVERTON PARK,MO,,Patricia,a04i000000h8N8UAAU,Kim,Patricia Kim,111111123
9/7/1957,4598 Harper Trail,,MO,R433715815,Theresa,a04i000000h8N8VAAU,Schmidt,Theresa Schmidt,111111124
